name,slug,image_filename,image_path
Front Dumbbell Raise,front-dumbbell-raise,front-dumbbell-raise.jpg,/exercises/front-dumbbell-raise.jpg
Glute Bridge,glute-bridge,glute-bridge.jpg,/exercises/glute-bridge.jpg
Glute Ham Raise,glute-ham-raise,glute-ham-raise.jpg,/exercises/glute-ham-raise.jpg
Hack Squat,hack-squat,hack-squat.jpg,/exercises/hack-squat.jpg
Hammer Curl,hammer-curl,hammer-curl.jpg,/exercises/hammer-curl.jpg
Hanging Knee Raise,hanging-knee-raise,hanging-knee-raise.jpg,/exercises/hanging-knee-raise.jpg
Hanging Leg Raise,hanging-leg-raise,hanging-leg-raise.jpg,/exercises/hanging-leg-raise.jpg
High Knees Jump Rope,high-knees-jump-rope,high-knees-jump-rope.jpg,/exercises/high-knees-jump-rope.jpg
Incline Dumbbell Curl,incline-dumbbell-curl,incline-dumbbell-curl.jpg,/exercises/incline-dumbbell-curl.jpg
Incline Dumbbell Press,incline-dumbbell-press,incline-dumbbell-press.jpg,/exercises/incline-dumbbell-press.jpg
Jump Rope Basic,jump-rope-basic,jump-rope-basic.jpg,/exercises/jump-rope-basic.jpg
Kettlebell Clean and Press,kettlebell-clean-and-press,kettlebell-clean-and-press.jpg,/exercises/kettlebell-clean-and-press.jpg
Kettlebell Figure 8,kettlebell-figure-8,kettlebell-figure-8.jpg,/exercises/kettlebell-figure-8.jpg
Kettlebell Goblet Squat,kettlebell-goblet-squat,kettlebell-goblet-squat.jpg,/exercises/kettlebell-goblet-squat.jpg
Kettlebell Halo,kettlebell-halo,kettlebell-halo.jpg,/exercises/kettlebell-halo.jpg
Kettlebell High Pull,kettlebell-high-pull,kettlebell-high-pull.jpg,/exercises/kettlebell-high-pull.jpg
Kettlebell Reverse Lunge,kettlebell-reverse-lunge,kettlebell-reverse-lunge.jpg,/exercises/kettlebell-reverse-lunge.jpg
Kettlebell Snatch,kettlebell-snatch,kettlebell-snatch.jpg,/exercises/kettlebell-snatch.jpg
Kettlebell Swing,kettlebell-swing,kettlebell-swing.jpg,/exercises/kettlebell-swing.jpg
Kettlebell Turkish Get-Up,kettlebell-turkish-get-up,kettlebell-turkish-get-up.jpg,/exercises/kettlebell-turkish-get-up.jpg
Kettlebell Windmill,kettlebell-windmill,kettlebell-windmill.jpg,/exercises/kettlebell-windmill.jpg
L-Sit Hang,l-sit-hang,l-sit-hang.jpg,/exercises/l-sit-hang.jpg
Lat Pulldown,lat-pulldown,lat-pulldown.jpg,/exercises/lat-pulldown.jpg
Lateral Raise,lateral-raise,lateral-raise.jpg,/exercises/lateral-raise.jpg
Leg Curl,leg-curl,leg-curl.jpg,/exercises/leg-curl.jpg
Leg Extension,leg-extension,leg-extension.jpg,/exercises/leg-extension.jpg
Leg Press,leg-press,leg-press.jpg,/exercises/leg-press.jpg
Lying Leg Curl,lying-leg-curl,lying-leg-curl.jpg,/exercises/lying-leg-curl.jpg
Machine Chest Press,machine-chest-press,machine-chest-press.jpg,/exercises/machine-chest-press.jpg
Machine Crunch,machine-crunch,machine-crunch.jpg,/exercises/machine-crunch.jpg
Machine Reverse Fly,machine-reverse-fly,machine-reverse-fly.jpg,/exercises/machine-reverse-fly.jpg
Machine Shoulder Press,machine-shoulder-press,machine-shoulder-press.jpg,/exercises/machine-shoulder-press.jpg
Machine Triceps Extension,machine-triceps-extension,machine-triceps-extension.jpg,/exercises/machine-triceps-extension.jpg
Mountain Climbers,mountain-climbers,mountain-climbers.jpg,/exercises/mountain-climbers.jpg
Overhead Cable Extension,overhead-cable-extension,overhead-cable-extension.jpg,/exercises/overhead-cable-extension.jpg
Overhead Press,overhead-press,overhead-press.jpg,/exercises/overhead-press.jpg
Pec Deck Fly,pec-deck-fly,pec-deck-fly.jpg,/exercises/pec-deck-fly.jpg
Pendlay Row,pendlay-row,pendlay-row.jpg,/exercises/pendlay-row.jpg
Pike Push-up,pike-push-up,pike-push-up.jpg,/exercises/pike-push-up.jpg
